Term,UnitsName,UnitsTypeCV,UnitsAbbreviation,UnitsLink
europeanMonetaryUnit(E.M.U.-6)(BondsMarketUnit),European Monetary Unit (E.M.U.-6) (Bonds Market Unit),Currency,XBB,http://qudt.org/vocab/unit#EuropeanMonetaryUnit
europeanUnitOfAccount17(E.U.A.-17)(BondsMarketUnit),European Unit of Account 17 (E.U.A.-17) (Bonds Market Unit),Currency,XBD,http://qudt.org/vocab/unit#EuropeanUnitOfAccount17
falklandIslandsPound,Falkland Islands Pound,Currency,FKP,http://qudt.org/vocab/unit#FalklandIslandsPound
fijiDollar,Fiji Dollar,Currency,FJD,http://qudt.org/vocab/unit#FijiDollar
forint,Forint,Currency,HUF,http://qudt.org/vocab/unit#Forint
francCongolais,Franc Congolais,Currency,CDF,http://qudt.org/vocab/unit#FrancCongolais
gibraltarPound,Gibraltar Pound,Currency,GIP,http://qudt.org/vocab/unit#GibraltarPound
gold(OneTroyOunce),Gold (One Troy Ounce),Currency,XAU,http://qudt.org/vocab/unit#Gold-OunceTroy
goldFranc(SpecialSettlementCurrency),Gold Franc (Special Settlement Currency),Currency,XFO,http://qudt.org/vocab/unit#GoldFranc
guarani,Guarani,Currency,PYG,http://qudt.org/vocab/unit#Guarani
guineaFranc,Guinea Franc,Currency,GNF,http://qudt.org/vocab/unit#GuineaFranc
guyanaDollar,Guyana Dollar,Currency,GYD,http://qudt.org/vocab/unit#GuyanaDollar
haitiGourde,Haiti Gourde,Currency,HTG,http://qudt.org/vocab/unit#HaitiGourde
hongKongDollar,Hong Kong Dollar,Currency,HKD,http://qudt.org/vocab/unit#HongKongDollar
hryvnia,Hryvnia,Currency,UAH,http://qudt.org/vocab/unit#Hryvnia
icelandKrona,Iceland Krona,Currency,ISK,http://qudt.org/vocab/unit#IcelandKrona
indianRupee,Indian Rupee,Currency,INR,http://qudt.org/vocab/unit#IndianRupee
iranianRial,Iranian Rial,Currency,IRR,http://qudt.org/vocab/unit#IranianRial
iraqiDinar,Iraqi Dinar,Currency,IQD,http://qudt.org/vocab/unit#IraqiDinar
jamaicanDollar,Jamaican Dollar,Currency,JMD,http://qudt.org/vocab/unit#JamaicanDollar
japaneseYen,Japanese Yen,Currency,JPY,http://qudt.org/vocab/unit#JapaneseYen
jordanianDinar,Jordanian Dinar,Currency,JOD,http://qudt.org/vocab/unit#JordanianDinar
kenyanShilling,Kenyan Shilling,Currency,KES,http://qudt.org/vocab/unit#KenyanShilling
kina,Kina,Currency,PGK,http://qudt.org/vocab/unit#Kina
kroon,Kroon,Currency,EEK,http://qudt.org/vocab/unit#Kroon
kuwaitiDinar,Kuwaiti Dinar,Currency,KWD,http://qudt.org/vocab/unit#KuwaitiDinar
kwanza,Kwanza,Currency,AOA,http://qudt.org/vocab/unit#Kwanza
kyat,Kyat,Currency,MMK,http://qudt.org/vocab/unit#Kyat
laosKip,Laos Kip,Currency,LAK,http://qudt.org/vocab/unit#LaosKip
lari,Lari,Currency,GEL,http://qudt.org/vocab/unit#Lari
latvianLats,Latvian Lats,Currency,LVL,http://qudt.org/vocab/unit#LatvianLats
lebanesePound,Lebanese Pound,Currency,LBP,http://qudt.org/vocab/unit#LebanesePound
lek,Lek,Currency,ALL,http://qudt.org/vocab/unit#Lek
lempira,Lempira,Currency,HNL,http://qudt.org/vocab/unit#Lempira
leone,Leone,Currency,SLL,http://qudt.org/vocab/unit#Leone
liberianDollar,Liberian Dollar,Currency,LRD,http://qudt.org/vocab/unit#LiberianDollar
libyanDinar,Libyan Dinar,Currency,LYD,http://qudt.org/vocab/unit#LibyanDinar
lilangeni,Lilangeni,Currency,SZL,http://qudt.org/vocab/unit#Lilangeni
lithuanianLitas,Lithuanian Litas,Currency,LTL,http://qudt.org/vocab/unit#LithuanianLitas
loti,Loti,Currency,LSL,http://qudt.org/vocab/unit#Loti
malagasyAriary,Malagasy Ariary,Currency,MGA,http://qudt.org/vocab/unit#MalagasyAriary
malawiKwacha,Malawi Kwacha,Currency,MWK,http://qudt.org/vocab/unit#MalawiKwacha
malaysianRinggit,Malaysian Ringgit,Currency,MYR,http://qudt.org/vocab/unit#MalaysianRinggit
malteseLira,Maltese Lira,Currency,MTL,http://qudt.org/vocab/unit#MalteseLira
manat,Manat,Currency,TMM,http://qudt.org/vocab/unit#Manat
mauritiusRupee,Mauritius Rupee,Currency,MUR,http://qudt.org/vocab/unit#MauritiusRupee
metical,Metical,Currency,MZN,http://qudt.org/vocab/unit#Metical
mexicanPeso,Mexican Peso,Currency,MXN,http://qudt.org/vocab/unit#MexicanPeso
mexicanUnidadDeInversion(Udi)(FundsCode),Mexican Unidad De Inversion (Udi) (Funds Code),Currency,MXV,http://qudt.org/vocab/unit#MexicanUnidadDeInversion
millionUsDollars,Million Us Dollars,Currency,Million USD,http://qudt.org/vocab/unit#MillionUSDollars
moldovanLeu,Moldovan Leu,Currency,MDL,http://qudt.org/vocab/unit#MoldovanLeu
moroccanDirham,Moroccan Dirham,Currency,MAD,http://qudt.org/vocab/unit#MoroccanDirham
naira,Naira,Currency,NGN,http://qudt.org/vocab/unit#Naira
nakfa,Nakfa,Currency,ERN,http://qudt.org/vocab/unit#Nakfa
namibianDollar,Namibian Dollar,Currency,NAD,http://qudt.org/vocab/unit#NamibianDollar
nepaleseRupee,Nepalese Rupee,Currency,NPR,http://qudt.org/vocab/unit#NepaleseRupee
netherlandsAntillianGuilder,Netherlands Antillian Guilder,Currency,ANG,http://qudt.org/vocab/unit#NetherlandsAntillianGuilder
newIsraeliShekel,New Israeli Shekel,Currency,ILS,http://qudt.org/vocab/unit#NewIsraeliShekel
newTaiwanDollar,New Taiwan Dollar,Currency,TWD,http://qudt.org/vocab/unit#NewTaiwanDollar
newTurkishLira,New Turkish Lira,Currency,TRY,http://qudt.org/vocab/unit#NewTurkishLira
newZealandDollar,New Zealand Dollar,Currency,NZD,http://qudt.org/vocab/unit#NewZealandDollar
ngultrum,Ngultrum,Currency,BTN,http://qudt.org/vocab/unit#Ngultrum
northKoreanWon,North Korean Won,Currency,KPW,http://qudt.org/vocab/unit#NorthKoreanWon
norwegianKrone,Norwegian Krone,Currency,NOK,http://qudt.org/vocab/unit#NorwegianKrone
nuevoSol,Nuevo Sol,Currency,PEN,http://qudt.org/vocab/unit#NuevoSol
ouguiya,Ouguiya,Currency,MRO,http://qudt.org/vocab/unit#Ouguiya
pa'Anga,Pa'Anga,Currency,TOP,http://qudt.org/vocab/unit#Paanga
pakistanRupee,Pakistan Rupee,Currency,PKR,http://qudt.org/vocab/unit#PakistanRupee
palladium(OneTroyOunce),Palladium (One Troy Ounce),Currency,XPD,http://qudt.org/vocab/unit#Palladium-OunceTroy
pataca,Pataca,Currency,MOP,http://qudt.org/vocab/unit#Pataca
pesoUruguayo,Peso Uruguayo,Currency,UYU,http://qudt.org/vocab/unit#UruguayPeso
philippinePeso,Philippine Peso,Currency,PHP,http://qudt.org/vocab/unit#PhilippinePeso
platinum(OneTroyOunce),Platinum (One Troy Ounce),Currency,XPT,http://qudt.org/vocab/unit#Platinum-OunceTroy
poundSterling,Pound Sterling,Currency,GBP,http://qudt.org/vocab/unit#PoundSterling
pula,Pula,Currency,BWP,http://qudt.org/vocab/unit#Pula
qatariRial,Qatari Rial,Currency,QAR,http://qudt.org/vocab/unit#QatariRial
quetzal,Quetzal,Currency,GTQ,http://qudt.org/vocab/unit#Quetzal
rialOmani,Rial Omani,Currency,OMR,http://qudt.org/vocab/unit#OmaniRial
riel,Riel,Currency,KHR,http://qudt.org/vocab/unit#Riel
romanianNewLeu,Romanian New Leu,Currency,RON,http://qudt.org/vocab/unit#RomanianNeLeu
rufiyaa,Rufiyaa,Currency,MVR,http://qudt.org/vocab/unit#Rufiyaa
rupiah,Rupiah,Currency,IDR,http://qudt.org/vocab/unit#Rupiah
russianRuble,Russian Ruble,Currency,RUB,http://qudt.org/vocab/unit#RussianRuble
rwandaFranc,Rwanda Franc,Currency,RWF,http://qudt.org/vocab/unit#RwandaFranc
saintHelenaPound,Saint Helena Pound,Currency,SHP,http://qudt.org/vocab/unit#SaintHelenaPound
samoanTala,Samoan Tala,Currency,WST,http://qudt.org/vocab/unit#SamoanTala
saudiRiyal,Saudi Riyal,Currency,SAR,http://qudt.org/vocab/unit#SaudiRiyal
serbianDinar,Serbian Dinar,Currency,RSD,http://qudt.org/vocab/unit#SerbianDinar
seychellesRupee,Seychelles Rupee,Currency,SCR,http://qudt.org/vocab/unit#SeychellesRupee
silver(OneTroyOunce),Silver (One Troy Ounce),Currency,XAG,http://qudt.org/vocab/unit#Silver-OunceTroy
singaporeDollar,Singapore Dollar,Currency,SGD,http://qudt.org/vocab/unit#SingaporeDollar
slovakKoruna,Slovak Koruna,Currency,SKK,http://qudt.org/vocab/unit#SlovakKoruna
solomonIslandsDollar,Solomon Islands Dollar,Currency,SBD,http://qudt.org/vocab/unit#SolomonIslandsDollar
som,Som,Currency,KGS,http://qudt.org/vocab/unit#Som
somaliShilling,Somali Shilling,Currency,SOS,http://qudt.org/vocab/unit#SomaliShilling
somoni,Somoni,Currency,TJS,http://qudt.org/vocab/unit#Somoni
southAfricanRand,South African Rand,Currency,ZAR,http://qudt.org/vocab/unit#SouthAfricanRand
southKoreanWon,South Korean Won,Currency,KRW,http://qudt.org/vocab/unit#SouthKoreanWon
specialDrawingRights,Special Drawing Rights,Currency,XDR,http://qudt.org/vocab/unit#SpecialDrawingRights
sriLankaRupee,Sri Lanka Rupee,Currency,LKR,http://qudt.org/vocab/unit#SriLankaRupee
sudanesePound,Sudanese Pound,Currency,SDG,http://qudt.org/vocab/unit#SudanesePound
surinamDollar,Surinam Dollar,Currency,SRD,http://qudt.org/vocab/unit#SurinamDollar
swedishKrona,Swedish Krona,Currency,SEK,http://qudt.org/vocab/unit#SwedishKrona
swissFranc,Swiss Franc,Currency,CHF,http://qudt.org/vocab/unit#SwissFranc
syrianPound,Syrian Pound,Currency,SYP,http://qudt.org/vocab/unit#SyrianPound
tanzanianShilling,Tanzanian Shilling,Currency,TZS,http://qudt.org/vocab/unit#TanzanianShilling
tenge,Tenge,Currency,KZT,http://qudt.org/vocab/unit#Tenge
trinidadAndTobagoDollar,Trinidad And Tobago Dollar,Currency,TTD,http://qudt.org/vocab/unit#TrinidadAndTobagoDollar
tugrik,Tugrik,Currency,MNT,http://qudt.org/vocab/unit#Tugrik
tunisianDinar,Tunisian Dinar,Currency,TND,http://qudt.org/vocab/unit#TunisianDinar
ugandaShilling,Uganda Shilling,Currency,UGX,http://qudt.org/vocab/unit#UgandaShilling
uicFranc(SpecialSettlementCurrency),Uic Franc (Special Settlement Currency),Currency,XFU,http://qudt.org/vocab/unit#UICFranc
unidadDeValorReal,Unidad De Valor Real,Currency,COU,http://qudt.org/vocab/unit#UnidadDeValorReal
unidadesDeFormento(FundsCode),Unidades De Formento (Funds Code),Currency,CLF,http://qudt.org/vocab/unit#UnidadesDeFormento
unitedArabEmiratesDirham,United Arab Emirates Dirham,Currency,AED,http://qudt.org/vocab/unit#UAEDirham
unitedStatesDollar(NextDay)(FundsCode),United States Dollar (Next Day) (Funds Code),Currency,USN,http://qudt.org/vocab/unit#USDollar-NextDay
megabitPerSecond,Megabit per Second,Data rate,mbps,http://qudt.org/vocab/unit#MegabitsPerSecond
kilobitPerSecond,Kilobit per Second,Data rate,kbps,http://qudt.org/vocab/unit#KilobitsPerSecond
bitsPerSecond,Bits per Second,Data rate,bps,http://qudt.org/vocab/unit#BitsPerSecond
squareMeterPerSecond,Square Meter per Second,Diffusivity,m^2 s^-1,http://qudt.org/vocab/unit#SquareMeterPerSecond
stoke,Stoke,Diffusivity,St,http://qudt.org/vocab/unit#Stokes; http://unitsofmeasure.org/ucum.html#para-33; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
centistokes,Centistokes,Diffusivity,cSt,http://qudt.org/vocab/unit#Centistokes
squareFootPerHour,Square Foot per Hour,Diffusivity,ft^2/hr,http://qudt.org/vocab/unit#SquareFootPerHour
squareFootPerSecond,Square Foot per Second,Diffusivity,ft^2/s,http://qudt.org/vocab/unit#SquareFootPerSecond
partPerThousand,Part per Thousand,Dimensionless,ppth,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-29; http://qwwebservices.usgs.gov/service-domains.html
partPerTrillion,Part per Trillion,Dimensionless,ppt,http://environment.data.gov.au/def/unit/PerTrillion; http://unitsofmeasure.org/ucum.html#para-29; http://www.unidata.ucar.edu/software/udunits/
percent,Percent,Dimensionless,%,http://qudt.org/vocab/unit#Percent; http://unitsofmeasure.org/ucum.html#para-29; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/; http://qwwebservices.usgs.gov/service-domains.html
perMille,Per Mille,Dimensionless,per mil,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/PerMil; http://qwwebservices.usgs.gov/service-domains.html
presenceOrAbsence,Presence or Absence,Dimensionless,PrsAbs,http://qwwebservices.usgs.gov/service-domains.html
standardUnit,Standard Unit,Dimensionless,std units,http://qwwebservices.usgs.gov/service-domains.html
thresholdOdorNumber,Threshold Odor Number,Dimensionless,TON,http://qwwebservices.usgs.gov/service-domains.html
tritiumUnit,Tritium Unit,Dimensionless,TU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/Tritium_Unit; http://qwwebservices.usgs.gov/service-domains.html
unitedStatesPharmacopeiaUnit,United States Pharmacopeia Unit,Dimensionless,USP'U,http://unitsofmeasure.org/ucum.html#para-45
partPerMillion,Part per Million,Dimensionless,ppm,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-29; http://www.unidata.ucar.edu/software/udunits/
code,Code,Dimensionless,code,USGS
dimensionless,Dimensionless,Dimensionless,-,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
hounsfieldUnit,Hounsfield Unit,Dimensionless,hnsf'U,http://unitsofmeasure.org/ucum.html#para-44
mach,Mach,Dimensionless,,http://qudt.org/vocab/unit#Mach
partPerBillion,Part per Billion,Dimensionless,ppb,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-29; http://www.unidata.ucar.edu/software/udunits/
partPerQuadrillion,Part per Quadrillion,Dimensionless,ppq,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
partPerQuintillion,Part per Quintillion,Dimensionless,ppqt,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
rem,REM,Dose equivalent,REM,http://qudt.org/vocab/unit#Rem; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
sievert,Sievert,Dose equivalent,Sv,http://qudt.org/vocab/unit#Sievert; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
poundPerFootSecond,Pound per Foot Second,Dynamic viscosity,lb/(ft-s),http://qudt.org/vocab/unit#PoundPerFootSecond
centipoise,Centipoise,Dynamic viscosity,cP,http://qudt.org/vocab/unit#Centipoise
pascalSecond,Pascal Second,Dynamic viscosity,Pa-s,http://qudt.org/vocab/unit#PascalSecond
poise,Poise,Dynamic viscosity,P,http://qudt.org/vocab/unit#Poise; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
poundForceSecondPerSquareFoot,Pound Force Second per Square Foot,Dynamic viscosity,lbf-s/ft^2,http://qudt.org/vocab/unit#PoundForceSecondPerSquareFoot
poundForceSecondPerSquareInch,Pound Force Second per Square Inch,Dynamic viscosity,lbf-s/in^2,http://qudt.org/vocab/unit#PoundForceSecondPerSquareInch
poundPerFootHour,Pound per Foot Hour,Dynamic viscosity,lb/(ft-hr),http://qudt.org/vocab/unit#PoundPerFootHour
slugPerFootSecond,Slug per Foot Second,Dynamic viscosity,slug/(ft-s),http://qudt.org/vocab/unit#SlugPerFootSecond
abfarad,Abfarad,Electrical capacitance,abF,http://qudt.org/vocab/unit#Abfarad
statfarad,Statfarad,Electrical capacitance,statF,http://qudt.org/vocab/unit#Statfarad; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
microfarad,Microfarad,Electrical capacitance,microF,http://qudt.org/vocab/unit#MicroFarad
nanofarad,Nanofarad,Electrical capacitance,nF,http://qudt.org/vocab/unit#NanoFarad
picofarad,Picofarad,Electrical capacitance,pF,http://qudt.org/vocab/unit#PicoFarad
farad,Farad,Electrical capacitance,F,http://qudt.org/vocab/unit#Farad; http://unitsofmeasure.org/ucum.html#para-30
chemicalFaraday,Chemical Faraday,Electrical charge,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
coulomb,Coulomb,Electrical charge,C,http://qudt.org/vocab/unit#Coulomb
faraday,Faraday,Electrical charge,F,http://qudt.org/vocab/unit#Faraday
franklin,Franklin,Electrical charge,Fr,http://qudt.org/vocab/unit#Franklin
milliequivalent,Milliequivalent,Electrical charge,meq,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
physicalFaraday,Physical Faraday,Electrical charge,,http://www.unidata.ucar.edu/software/udunits/
planckCharge,Planck Charge,Electrical charge,Q_p,http://qudt.org/vocab/unit#PlanckCharge
statcoulomb,Statcoulomb,Electrical charge,statC,http://qudt.org/vocab/unit#Statcoulomb; http://www.unidata.ucar.edu/software/udunits/
abcoulomb,Abcoulomb,Electrical charge,abC,http://qudt.org/vocab/unit#Abcoulomb
ampereHour,Ampere Hour,Electrical charge,A-hr,http://qudt.org/vocab/unit#AmpereHour
c12Faraday,C12 Faraday,Electrical charge,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
chemicalEquivalent,Chemical Equivalent,Electrical charge,eq,http://unitsofmeasure.org/ucum.html#para-45
coulombPerMeter,Coulomb per Meter,Electrical charge line density,C/m,http://qudt.org/vocab/unit#CoulombPerMeter
statcoulombPerMole,Statcoulomb per Mole,Electrical charge per count,statC/mol,http://qudt.org/vocab/unit#StatcoulombPerMole
coulombPerMole,Coulomb per Mole,Electrical charge per count,,http://qudt.org/vocab/unit#CoulombPerMole
perTeslaSecond,Per Tesla Second,Electrical charge per mass,s^-1 T^-1,http://qudt.org/vocab/unit#PerTeslaSecond
roentgen,Roentgen,Electrical charge per mass,R,http://qudt.org/vocab/unit#Roentgen; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
coulombPerKilogram,Coulomb per Kilogram,Electrical charge per mass,C/kg,http://qudt.org/vocab/unit#CoulombPerKilogram
hertzPerTesla,Hertz per Tesla,Electrical charge per mass,Hz T^-1,http://qudt.org/vocab/unit#HertzPerTesla
megahertzPerTesla,Megahertz per Tesla,Electrical charge per mass,MHz T^-1,http://qudt.org/vocab/unit#MegaHertzPerTesla
milliequivalentPer100Gram,Milliequivalent per 100 Gram,Electrical charge per mass,meq/100 g,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
milliequivalentPerHectogram,Milliequivalent per Hectogram,Electrical charge per mass,meq/hg,http://environment.data.gov.au/def/unit/MilliEquivalentPerHectoGram
milliequivalentPerKilogram,Milliequivalent per Kilogram,Electrical charge per mass,meq/kg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
coulombPerCubicMeter,Coulomb per Cubic Meter,Electrical charge volume density,C/m^3,http://qudt.org/vocab/unit#CoulombPerCubicMeter
milliequivalentPerLiter,Milliequivalent per Liter,Electrical charge volume density,meq/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
microequivalentPerLiter,Microequivalent per Liter,Electrical charge volume density,ueq/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
mho,Mho,Electrical conductance,mho,http://qudt.org/vocab/unit#Mho; http://unitsofmeasure.org/ucum.html#para-47
statmho,Statmho,Electrical conductance,statS,http://qudt.org/vocab/unit#Statmho; http://www.unidata.ucar.edu/software/udunits/
abmho,Abmho,Electrical conductance,,http://www.unidata.ucar.edu/software/udunits/
absiemen,Absiemen,Electrical conductance,aS,http://qudt.org/vocab/unit#Absiemen
siemen,Siemen,Electrical conductance,S,http://qudt.org/vocab/unit#Siemens; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
millisiemenPerCentimeter,Millisiemen per Centimeter,Electrical conductivity,mS/cm,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
siemenPerMeter,Siemen per Meter,Electrical conductivity,S/m,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
decisiemenPerCentimeter,Decisiemen per Centimeter,Electrical conductivity,dS/cm,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
decisiemenPerMeter,Decisiemen per Meter,Electrical conductivity,dS/m,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
micromhoPerCentimeter,Micromho per Centimeter,Electrical conductivity,µMhos/cm,
microsiemenPerCentimeter,Microsiemen per Centimeter,Electrical conductivity,uS/cm,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
millimhoPerCentimeter,Millimho per Centimeter,Electrical conductivity,mMhos/cm,
siemenPerCentimeter,Siemen per Centimeter,Electrical conductivity,S/cm,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
planckCurrent,Planck Current,Electrical current,,http://qudt.org/vocab/unit#PlanckCurrent
abampere,Abampere,Electrical current,abA,http://qudt.org/vocab/unit#Abampere
ampere,Ampere,Electrical current,A,http://qudt.org/vocab/unit#Ampere
biot,Biot,Electrical current,Bi,http://qudt.org/vocab/unit#Biot
statampere,Statampere,Electrical current,statA,http://qudt.org/vocab/unit#Statampere; http://www.unidata.ucar.edu/software/udunits/
abamperePerSquareCentimeter,Abampere per Square Centimeter,Electrical current density,abA / cm^2,http://qudt.org/vocab/unit#AbamperePerSquareCentimeter
amperePerSquareMeter,Ampere per Square Meter,Electrical current density,A/m^2,http://qudt.org/vocab/unit#AmperePerSquareMeter
planckCurrentDensity,Planck Current Density,Electrical current density,,http://qudt.org/vocab/unit#PlanckCurrentDensity
statamperePerSquareCentimeter,Statampere per Square Centimeter,Electrical current density,statA / cm^2,http://qudt.org/vocab/unit#StatamperePerSquareCentimeter
amperePerDegree,Ampere per Degree,Electrical current per angle,A/deg,http://qudt.org/vocab/unit#AmperePerDegree
amperePerRadian,Ampere per Radian,Electrical current per angle,,http://qudt.org/vocab/unit#AmperePerRadian
amperePerJoule,Ampere per Joule,Electrical current per energy,A/J,http://qudt.org/vocab/unit#AmperePerJoule
debye,Debye,Electrical dipole moment,D,http://qudt.org/vocab/unit#Debye
coulombMeter,Coulomb Meter,Electrical dipole moment,C m,http://qudt.org/vocab/unit#CoulombMeter
newtonPerCoulomb,Newton per Coulomb,Electrical field strength,N/C,http://qudt.org/vocab/unit#NewtonPerCoulomb
voltPerMeter,Volt per Meter,Electrical field strength,V/m,http://qudt.org/vocab/unit#VoltPerMeter
abvoltPerCentimeter,Abvolt per Centimeter,Electrical field strength,,http://qudt.org/vocab/unit#AbvoltPerCentimeter
statvoltPerCentimeter,Statvolt per Centimeter,Electrical field strength,,http://qudt.org/vocab/unit#StatvoltPerCentimeter
abvoltCentimeter,Abvolt Centimeter,Electrical flux,abV cm,http://qudt.org/vocab/unit#AbvoltCentimeter
voltMeter,Volt Meter,Electrical flux,m V,http://qudt.org/vocab/unit#VoltMeter
statvoltCentimeter,Statvolt Centimeter,Electrical flux,statV cm,http://qudt.org/vocab/unit#StatvoltCentimeter
abcoulombPerSquareCentimeter,Abcoulomb per Square Centimeter,Electrical flux density,,http://qudt.org/vocab/unit#AbcoulombPerSquareCentimeter
statcoulombPerSquareCentimeter,Statcoulomb per Square Centimeter,Electrical flux density,,http://qudt.org/vocab/unit#StatcoulombPerSquareCentimeter
coulombPerSquareMeter,Coulomb per Square Meter,Electrical flux density,C/m^2,http://qudt.org/vocab/unit#CoulombPerSquareMeter
abfaradPerCentimeter,Abfarad per Centimeter,Electrical permittivity,,http://qudt.org/vocab/unit#AbfaradPerCentimeter
faradPerMeter,Farad per Meter,Electrical permittivity,F/m,http://qudt.org/vocab/unit#FaradPerMeter
coulombSquareMeter,Coulomb Square Meter,Electrical quadrupole moment,C m^2,http://qudt.org/vocab/unit#CoulombSquareMeter
planckResistance,Planck Resistance,Electrical resistance,,http://qudt.org/vocab/unit#PlanckResistance
planckImpedance,Planck Impedance,Electrical resistance,,http://qudt.org/vocab/unit#PlanckResistance
statohm,Statohm,Electrical resistance,statOhm,http://qudt.org/vocab/unit#Statohm; http://www.unidata.ucar.edu/software/udunits/
abohm,Abohm,Electrical resistance,abOhm,http://qudt.org/vocab/unit#Abohm
ohm,Ohm,Electrical resistance,Ohm,http://qudt.org/vocab/unit#Ohm; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
ohmMeter,Ohm Meter,Electrical resistivity,ohm m,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kiloohmCentimeter,Kiloohm Centimeter,Electrical resistivity,kOhm-cm,
statvolt,Statvolt,Electromotive force,statV,http://qudt.org/vocab/unit#Statvolt; http://www.unidata.ucar.edu/software/udunits/
abvolt,Abvolt,Electromotive force,abV,http://qudt.org/vocab/unit#Abvolt
millivolt,Millivolt,Electromotive force,mV,http://environment.data.gov.au/def/unit/MilliVolt; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
planckVolt,Planck Volt,Electromotive force,,http://qudt.org/vocab/unit#PlanckVolt
volt,Volt,Electromotive force,V,http://qudt.org/vocab/unit#Volt; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
calorieAt15 °C,Calorie At 15 °C,Energy,cal_15,http://unitsofmeasure.org/ucum.html#para-43
kiloelectronvolt,KiloElectronVolt,Energy,keV,http://qudt.org/vocab/unit#KiloElectronVolt
bev,Bev,Energy,,http://www.unidata.ucar.edu/software/udunits/
britishThermalUnit,British Thermal Unit,Energy,Btu,http://qudt.org/vocab/unit#BritishThermalUnitThermochemical; http://unitsofmeasure.org/ucum.html#para-43
"britishThermalUnit,InternationalSteamTable","British Thermal Unit, International Steam Table",Energy,BtuIT,http://qudt.org/vocab/unit#BritishThermalUnitInternationalTable; http://unitsofmeasure.org/ucum.html#para-43; http://www.unidata.ucar.edu/software/udunits/
"britishThermalUnit,Mean","British Thermal Unit, Mean",Energy,Btu_m,http://unitsofmeasure.org/ucum.html#para-43
"britishThermalUnit,ThermochemicalCalorie","British Thermal Unit, Thermochemical Calorie",Energy,"Btu, BtuTC, Btu_th",http://qudt.org/vocab/unit#BritishThermalUnitThermochemical; http://unitsofmeasure.org/ucum.html#para-43
britishThermalUnitAt39 °F,British Thermal Unit At 39 °F,Energy,Btu_39,http://unitsofmeasure.org/ucum.html#para-43
